P:Karim Ali
P:Jan Vitek
Alastair F. Donaldson
Ben Hermann
Manu Sridharan
Saba Alimadadi
Annette Bieniusa
Steve Blackburn
Sandrine Blazy
Edwin Brady
Lubomír Bulej
Shigeru Chiba
Albert Cohen
Eva Darulova
Wolfgang De Meuter
Derek Dreyer
Sophia Drossopoulou
Stéphane Ducasse
Sebastian Erdweg
Simon Fowler
Juliana Franco
Deepak Garg
Simon J. Gay
Jeremy Gibbons
Elisa Gonzalez Boix
Philipp Haller
Robert Hirschfeld
Tony Hosking
Doug Lea
Mikel Luján
Magnus Madsen
Anders Møller
James Noble
Martin Odersky
Bruno C. d. S. Oliveira
Klaus Ostermann
Tomas Petricek
Alex Potanin
Marianna Rapoport
Manuel Rigger
Guido Salvaneschi
Tom Schrijvers
Manuel Serrano
Alexandra Silva
Emma Tosch
Laurence Tratt
Vasco T. Vasconcelos
Eelco Visser
Tobias Wrigstad
Tao Xie
Jingling Xue
Elena Zucca
E:Quentin Stiévenart
E:Chaitanya S. Koparkar
E:Krishna Narasimhan
E:Somesh Singh
E:Junwen Yang
E:Luigi De Simone
E:Matthieu Jimenez
E:Tomoki Nakamaru
E:Jonathan Immanuel Brachthäuser
E:Oliver Bračevac
E:Jonas Norlinder
E:Dongjie He
E:Chengyu Zhang
E:Martin Kruliš
E:Vlastimil Dort
E:Vojtech Horky
E:Wenjia Ye
E:Baber Rehman
E:Kristóf Marussy
E:Paulette Koronkevich
E:Hoang-Hai Dang
E:Anish Tondwalkar
E:Ifaz Kabir
E:Alex Renda
E:Michele Chiari
E:Olivier Flückiger
E:Petr Maj
E:Chiao Hsieh
E:Markus Raab
E:Michael Schröder
E:David Justo
E:Lars Schütze
E:Pascal Weisenburger
E:Emanuele D’Osualdo
E:Steven Keuchel
E:Jie An
E:Sven Keidel
E:Patrick Rein
E:Toni Mattis
E:Alessandra Gorla
E:Stefan Winter

